name,type,ra_deg,dec_deg,mag
B033,DrkN,85.245833,-2.458333,
C009,HII,344.475000,62.518333,
C014,*Ass,35.175000,57.137500,
C041,OCl,66.725000,15.866667,
C099,DrkN,187.829167,-63.743333,
Cl399,*Ass,291.350000,20.183333,3.6
ESO056-115,G,80.893750,-69.756111,0.29
ESO097-013,G,213.291458,-65.339222,10.56
ESO107-004,G,315.873417,-67.181333,11.97
ESO121-006,G,91.874417,-61.807583,12.6
ESO121-026,G,95.411458,-59.739917,11.94
ESO138-010,G,254.762292,-60.216028,11.42
ESO142-019,G,293.329000,-58.114250,11.93
ESO183-030,G,284.233083,-54.545444,11.67
ESO185-054,G,300.862625,-55.947167,11.24
ESO208-021,G,113.484375,-50.443028,11.22
ESO213-011,G,154.231333,-48.881083,11.87
ESO221-026,G,212.099208,-47.970472,11.06
ESO265-007,G,166.956542,-46.524306,11.38
ESO269-057,G,197.518458,-46.437333,11.86
ESO270-017,G,203.697083,-45.547500,11.72
ESO273-014,G,224.626542,-47.698944,11.96
ESO274-001,G,228.557667,-46.807944,11.19
ESO311-012,G,116.891875,-41.452139,11.83
ESO351-030,G,15.038958,-33.709028,8.6
ESO356-004,G,39.997208,-34.449194,7.4
ESO358-063,G,56.579208,-34.943556,11.89
ESO373-008,G,143.339625,-33.033500,11.93
ESO380-001,G,183.688000,-35.509806,11.89
ESO380-006,G,183.892792,-35.629750,11.54
ESO383-087,G,207.322917,-36.063444,10.91
ESO390-006,GCl,247.167083,-35.353611,12.0
ESO428-011,G,108.880333,-29.359028,11.89
ESO443-024,G,195.253292,-32.441306,11.84
ESO462-015,G,305.807667,-27.714556,11.92
ESO494-026,G,121.546208,-27.528417,11.51
ESO495-021,G,129.063042,-26.409389,11.83
ESO507-025,G,192.882667,-26.452083,11.6
ESO556-015,G,95.273167,-20.048417,11.83
H05,OCl,186.816667,-60.778333,7.1
H13,OCl,255.962500,-48.083333,
H20,OCl,298.275000,18.333333,7.7
H21,OCl,358.555000,61.740000,9.0
HCG079,GGroup,239.799583,20.758611,
HCG092,GGroup,338.995833,33.958333,
IC0001,**,2.112708,27.717667,
IC0002,G,2.753667,-12.822861,15.46
IC0003,G,3.025375,-0.415222,14.78
IC0004,G,3.362250,17.486444,14.14
IC0005,G,4.395542,-9.543361,14.57
IC0006,G,4.729333,-3.276083,14.57
IC0007,G,4.721500,10.594694,14.63
IC0008,G,4.761333,-3.222083,15.16
IC0009,G,4.933250,-14.121889,15.41
IC0010,G,5.072250,59.303778,10.35
IC0011,Dup,13.247292,56.621889,
IC0012,G,5.062708,-2.653111,15.08
IC0013,G,5.083708,7.700500,14.93
IC0014,**,5.630375,10.490250,
IC0015,G,6.989958,-0.061278,15.9
IC0016,G,7.031875,-13.093917,15.15
IC0017,G,7.124083,2.648611,14.77
IC0018,G,7.145667,-11.586694,15.03
IC0019,G,7.164500,-11.640778,15.15
IC0020,G,7.165333,-13.010306,14.88
IC0021,G,7.293458,-0.163778,15.54
IC0022,G,7.388208,-9.080750,14.73
IC0023,G,7.711667,-12.720250,15.05
IC0024,**,7.819292,30.839306,
IC0025,G,7.800375,-0.407361,15.29
IC0026,Dup,7.941417,-13.337472,
IC0027,G,8.276000,-13.371500,15.82
IC0028,G,8.286333,-13.456278,15.56
IC0029,G,8.545000,-2.177639,15.79
IC0030,G,8.561333,-2.084583,15.17
IC0031,G,8.602625,12.268167,15.62
IC0032,G,8.757042,-2.141694,16.15
IC0033,G,8.771500,-2.137694,15.29
IC0034,G,8.901750,9.124250,13.77
IC0035,G,9.416167,10.357972,14.96
IC0036,G,9.456875,-15.441278,15.54
IC0037,G,9.642417,-15.358694,16.23
IC0038,G,9.661500,-15.419833,15.02
IC0039,Dup,9.785000,-14.172833,
IC0040,G,9.839167,2.456222,15.04
IC0041,G,9.918208,-14.174333,15.2
IC0042,G,10.274333,-15.428083,15.38
IC0043,G,10.591917,29.641639,13.25
IC0044,Dup,10.566167,0.845500,
IC0045,Other,10.651417,29.655250,
IC0046,G,10.741542,27.253472,14.28
IC0047,G,10.729208,-13.740722,16.09
IC0048,G,10.893625,-8.186500,13.16
IC0049,G,10.983875,1.850278,13.78
IC0050,G,11.523792,-9.503000,14.74
IC0051,G,11.600917,-13.442361,13.75
IC0052,G,12.099083,4.091861,15.31
IC0053,G,12.669875,10.600278,15.33
IC0054,**,12.695208,-2.287778,
IC0055,G,12.926625,7.718528,15.01
IC0056,G,12.874750,-12.844306,15.14
IC0057,G,13.702083,11.841194,15.48
IC0058,G,13.760167,-13.678083,15.51
IC0059,RfN,14.369208,61.143667,
IC0060,G,14.017625,-13.357917,15.75
IC0061,G,14.280000,7.507083,15.23
IC0062,G,14.683083,11.808000,14.97
IC0063,HII,14.870167,60.911694,13.33
IC0064,G,14.851750,27.059056,13.96
IC0065,G,15.230917,47.681972,13.6
IC0066,G,15.135417,30.797222,14.1
IC0067,NonEx,15.073583,-6.910750,
IC0068,NonEx,15.090208,-6.944111,
IC0069,G,15.348583,31.040833,14.65
IC0070,G,15.266458,0.050750,16.77
IC0071,*,15.330250,-6.767167,
IC0072,*,15.394625,-6.777944,
IC0073,G,16.220625,4.767139,15.38
IC0074,G,16.483125,4.090250,15.59
IC0075,G,16.798375,10.836889,14.98
IC0076,G,17.048792,-4.554500,15.44
IC0077,G,17.182292,-15.420917,15.04
IC0078,G,17.198750,-15.845083,15.24
IC0079,G,17.207125,-15.948583,14.93
IC0080,GPair,17.212083,-15.407500,
IC0080 NED01,G,17.211250,-15.408944,14.83
IC0080 NED02,G,17.213042,-15.406306,12.9
IC0081,G,17.342750,-1.695861,14.53
IC0082,G,17.274125,-16.000306,14.85
IC0083,G,17.624083,1.689361,15.16
IC0084,G,17.856667,1.640194,15.21
IC0085,*,17.956458,-0.452472,
IC0086,G,18.368833,-16.241667,15.31
IC0087,G,18.565792,0.765333,15.37
IC0088,G,18.630417,0.791750,18.07
IC0089,Dup,19.015042,4.294111,
IC0090,G,19.126458,-7.977139,14.85
IC0091,G,19.664292,2.553667,16.48
IC0092,Dup,19.952083,32.767778,
IC0093,G,19.759750,-17.060389,13.57
IC0094,*,20.022875,32.717333,
IC0095,G,19.824500,-12.574139,16.2
IC0096,G,20.138417,29.617250,14.65
IC0097,Dup,20.008333,14.861056,
IC0098,G,20.228667,-12.604722,16.3
IC0099,G,20.614000,-12.952556,15.82
IC0100,G,20.724833,-4.643028,14.48
IC0101,G,21.035625,9.930528,15.03
IC0102,G,21.109708,9.886556,15.57
IC0103,G,21.151833,2.044250,15.36
IC0104,**,21.140000,-1.456722,8.79
IC0105,G,21.192708,2.075278,15.59
IC0106,Dup,21.173542,-1.587083,
IC0107,G,21.352750,14.864611,14.25
IC0108,G,21.162333,-12.635583,15.48
IC0109,G,21.304542,2.066222,14.87
IC0110,Other,21.444167,33.514694,
IC0111,Other,21.500542,33.497111,
IC0112,G,21.512583,11.442972,14.17
IC0113,G,21.606250,19.191972,
IC0114,G,21.594083,9.909944,15.62
IC0115,G,21.726833,19.214694,14.03
IC0116,G,21.710708,-4.982278,14.62
IC0117,Dup,21.855917,-1.912972,
IC0118,G,21.900167,-4.997472,15.81
IC0119,G,21.979250,-2.040472,15.18
IC0120,G,22.054000,-1.915528,15.12
IC0121,G,22.090750,2.513028,14.25
IC0122,G,22.055000,-14.838889,15.96
IC0123,G,22.214417,2.446444,15.16
IC0124,*,22.287833,-1.937028,14.4
IC0125,G,22.326458,-13.279833,16.18
IC0126,G,22.449417,-1.983750,15.66
IC0127,G,22.448375,-6.980056,9.2
IC0128,G,22.849458,-12.624389,15.35
IC0129,G,22.880250,-12.654389,15.28
IC0130,G,22.869750,-15.591611,15.49
IC0131,HII,23.310750,30.753250,12.52
IC0132,HII,23.316333,30.945611,14.82
IC0133,HII,23.313250,30.888389,18.45
IC0134,*,23.354167,30.900667,15.98
IC0135,HII,23.564708,30.620083,
IC0136,*Ass,23.566833,30.562056,11.04
IC0137,*Ass,23.412125,30.522500,
IC0138,G,23.258250,-0.689833,14.72
IC0139,*Ass,23.496833,30.567444,13.1
IC0140,*Ass,23.492375,30.550139,
IC0141,G,23.215458,-14.814611,14.33
IC0142,HII,23.481375,30.757806,14.2
IC0143,HII,23.545542,30.776417,11.4
IC0144,G,24.420208,-13.314667,15.74
IC0145,G,24.660333,0.741500,15.4
IC0146,Dup,24.665792,-17.831194,
IC0147,G,24.998958,-14.862639,15.23
IC0148,G,25.612375,13.977028,13.84
IC0149,G,25.605750,-16.300417,14.4
IC0150,G,25.739667,4.200167,14.86
IC0151,Other,25.989458,13.202611,
IC0152,Other,26.030792,13.035861,
IC0153,Other,26.150875,12.628944,
IC0154,G,26.317792,10.649194,14.83
IC0155,Other,26.884708,60.610833,
IC0156,G,26.371708,10.552722,14.92
IC0157,Other,26.426667,12.873333,
IC0158,G,26.473000,-6.935694,15.88
IC0159,G,26.604375,-8.636611,14.18
IC0160,G,26.623167,-13.247722,14.88
IC0161,G,27.182250,10.507889,14.27
IC0162,G,27.222625,10.521611,14.46
IC0163,G,27.312458,20.711306,13.26
IC0164,G,27.285042,-3.904389,14.04
IC0165,Dup,27.558417,27.645667,
IC0166,OCl,28.099250,61.852611,11.7
IC0167,G,27.785667,21.912806,13.26
IC0168,G,27.615125,-8.522944,14.85
IC0169,G,27.664000,-12.679611,15.79
IC0170,G,27.989667,-8.517611,15.34
IC0171,G,28.792542,35.281889,13.69
IC0172,G,28.725958,0.811222,14.74
IC0173,G,28.988125,1.285167,14.09
IC0174,G,29.067000,3.761861,14.52
IC0175,G,29.078583,1.332417,15.7
IC0176,G,29.222500,-2.018972,14.9
IC0177,G,29.252417,-0.089861,15.47
IC0178,G,29.728625,36.674694,13.28
IC0179,G,30.047917,38.021333,12.56
IC0180,G,30.001708,23.604333,15.3
IC0181,G,30.009708,23.658639,15.85
IC0182,G,29.965875,7.411833,14.54
IC0183,G,29.891875,-5.347139,14.89
IC0184,G,29.963458,-6.840389,13.89
IC0185,G,30.025167,-1.528333,15.72
IC0186,GTrpl,30.102083,-1.551722,
IC0186 NED03,G,30.105833,-1.550833,
IC0186A,G,30.100000,-1.552861,14.87
IC0186B,G,30.106042,-1.549806,15.8
IC0187,G,30.378167,26.480972,13.79
IC0188,G,30.443750,26.546889,14.4
IC0189,G,30.470458,23.551500,14.85
IC0190,G,30.530333,23.549833,15.03
IC0191,Dup,30.622208,18.373000,
IC0192,G,30.634958,16.014167,14.75
IC0193,G,30.629083,11.093083,14.62
IC0194,G,30.771750,2.614250,15.18
IC0195,G,30.935875,14.709278,13.15
IC0196,G,30.957500,14.739139,14.11
IC0197,G,31.020542,2.786833,14.25
IC0198,G,31.513000,9.295556,14.81
IC0199,G,31.580833,9.227417,15.33
IC0200,G,31.361000,31.175333,12.82
IC0201,G,31.813708,9.115056,16.77
IC0202,G,31.869417,9.168306,15.22
IC0203,G,31.873542,9.122639,16.9
IC0204,G,31.862833,-1.430194,15.82
IC0205,G,31.864292,-2.091278,14.76
IC0206,G,32.377833,-6.968389,14.34
IC0207,G,32.413958,-6.922194,14.53
IC0208,G,32.115583,6.394917,14.73
IC0209,G,32.244625,-7.058917,13.8
IC0210,G,32.367833,-9.680333,13.82
IC0211,G,32.783333,3.852500,14.07
IC0212,G,33.409417,16.593944,15.75
IC0213,G,33.517833,16.455889,13.2
IC0214,G,33.523292,5.173250,14.16
IC0215,G,33.539417,-6.806333,15.62
IC0216,G,33.981333,-2.015111,15.87
IC0217,G,34.043500,-11.926722,15.08
IC0218,G,34.280208,1.282333,15.63
IC0219,G,34.661792,-6.903333,14.44
IC0220,G,34.798875,-12.781639,15.08
IC0221,G,35.670417,28.256972,13.81
IC0222,G,35.699375,11.638333,15.14
IC0223,G,35.504583,-20.745917,14.09
IC0224,G,36.188083,-12.564472,15.0
IC0225,G,36.617875,1.160528,14.83
IC0226,G,36.941375,28.208833,16.0
IC0227,G,37.015042,28.175333,15.39
IC0228,Dup,36.673042,-14.515639,
IC0229,Other,36.842042,-23.813000,
IC0230,G,37.197042,-10.831361,15.54
IC0231,G,37.484958,1.179083,15.14
IC0232,G,37.798417,1.265639,14.3
IC0233,G,37.919583,2.809917,15.53
IC0234,G,37.907167,-0.140250,15.22
IC0235,G,38.211625,20.641250,14.35
IC0236,G,38.232542,-0.131250,15.97
IC0237,G,38.381542,1.139889,14.71
IC0238,G,38.844500,12.837722,14.02
IC0239,G,39.116167,38.969917,11.2
IC0240,Other,39.744042,41.719417,
IC0241,G,39.477083,2.328028,14.48
IC0242,**,39.599708,-6.933944,
IC0243,G,39.634000,-6.902139,15.46
IC0244,G,39.853042,2.728806,15.26
IC0245,G,39.727667,-14.305556,15.0
IC0246,G,40.119167,2.478639,15.39
IC0247,G,40.036583,-11.733778,14.74
IC0248,G,40.357625,17.812222,14.35
IC0249,Dup,40.260375,-6.935917,
IC0250,G,40.226125,-13.313556,15.05
IC0251,G,40.307708,-14.957833,15.0
IC0252,G,40.438042,-14.848250,15.35
IC0253,G,40.523958,-15.046833,14.87
IC0254,G,40.520750,-15.106639,14.91
IC0255,G,41.763375,16.288028,15.68
IC0256,G,42.417917,46.954667,14.31
IC0257,G,42.439333,46.976194,12.68
IC0258,G,42.442083,41.051667,15.52
IC0259,G,42.420333,41.055111,15.38
IC0260,G,42.753667,46.954778,15.12
IC0261,Dup,42.267042,-14.470694,
IC0262,G,42.930292,42.828278,14.69
IC0263,G,42.416500,-0.069861,14.72
IC0264,G,42.198417,-0.109194,16.88
IC0265,G,43.683250,41.655333,15.49
IC0266,G,43.770125,42.262333,15.65
IC0267,G,43.459375,12.849222,13.09
IC0268,G,43.862292,-14.103000,15.31
IC0269,G,43.860375,-14.066806,15.34
IC0270,G,43.934125,-14.207889,14.14
IC0271,G,43.997708,-12.007861,14.7
IC0272,G,44.026833,-14.186639,14.86
IC0273,G,44.294917,2.775056,14.32
IC0274,Other,45.021792,44.213167,
IC0275,GTrpl,45.238750,44.348333,
IC0275 NED01,G,45.232792,44.346306,
IC0275 NED02,G,45.232917,44.350361,14.44
IC0275 NED03,G,45.244458,44.350167,16.56
IC0276,G,44.671083,-15.703111,13.97
IC0277,G,44.960833,2.771361,13.12
IC0278,G,45.376833,37.766000,14.69
IC0279,G,45.300875,16.209222,15.19
IC0280,Other,45.765042,42.359306,
IC0281,Dup,46.154708,42.362833,
IC0282,Dup,46.555167,41.848944,
IC0283,G,45.960250,-0.204444,17.93
IC0284,G,46.541292,42.371917,11.59
IC0285,G,46.025917,-12.015444,15.02
IC0286,Other,46.196750,-6.484528,
IC0287,G,46.240917,-12.070444,15.36
IC0288,G,46.887125,42.387556,14.95
IC0289,PN,47.580250,61.316778,13.2
IC0290,G,47.428083,40.974222,15.43
IC0291,G,46.860208,-12.587444,14.65
IC0292,G,47.553833,40.765667,13.47
IC0293,G,47.734000,41.137111,15.48
IC0294,G,47.762958,40.622111,15.52
IC0295,Other,47.753083,40.615250,
IC0296,Other,47.769875,40.626861,
IC0297,**,48.326583,42.148778,
IC0298,GPair,47.828750,1.314722,
IC0298A,G,47.827083,1.315028,16.12
IC0298B,G,47.831375,1.313389,15.1
IC0299,G,47.760625,-13.109583,15.79
IC0300,G,48.566750,42.415333,16.06
IC0301,G,48.698792,42.222639,14.95
IC0302,G,48.213625,4.707028,12.89
IC0303,G,48.170292,-11.689944,16.16
IC0304,G,48.755708,37.881833,14.74
IC0305,G,48.765833,37.860000,15.57
IC0306,G,48.250875,-11.715694,15.5
IC0307,G,48.438375,-0.241444,14.5
IC0308,G,49.065958,41.180750,14.22
IC0309,G,49.026208,40.804556,14.81
IC0310,G,49.179083,41.324972,12.71
IC0311,G,49.194708,40.003611,15.65
IC0312,G,49.535875,41.754111,14.64
IC0313,G,50.241250,41.893833,14.79
IC0314,Dup,49.707542,-1.973333,
IC0315,G,49.788917,4.038556,15.49
IC0316,GPair,50.332917,41.930556,
IC0316 NED01,G,50.333125,41.928944,15.24
IC0316 NED02,G,50.332917,41.931917,15.03
IC0317,G,49.731292,-12.740194,14.87
IC0318,G,50.182625,-14.568222,14.72
IC0319,*,50.871042,41.416361,
IC0320,G,51.496583,40.789028,15.34
IC0321,G,51.123292,-14.985472,14.79
IC0322,G,51.501958,3.680556,15.35
IC0323,Other,52.389792,41.855083,
IC0324,Dup,51.617875,-21.355306,
IC0325,G,52.703583,-7.046722,15.58
IC0326,G,52.652542,-14.425556,15.41
IC0327,G,52.791583,-14.692139,15.21
IC0328,G,52.795625,-14.637861,14.59
IC0329,G,53.005708,0.279444,15.14
IC0330,G,53.033458,0.353389,14.98
IC0331,G,53.079500,0.282556,14.83
IC0332,G,53.155917,1.382556,15.32
IC0333,Other,53.514083,-4.584889,
IC0334,G,56.321167,76.638306,11.5
IC0335,G,53.879333,-34.447056,12.99
IC0336,Neb,54.487667,23.363139,
IC0337,Other,54.267917,-6.721194,
IC0338,G,54.408750,3.118778,14.94
IC0339,*,54.509292,-18.397778,
IC0340,G,54.871292,-13.115111,14.76
IC0341,Neb,55.232042,21.960194,
IC0342,G,56.702083,68.096361,9.68
IC0343,G,55.029750,-18.443472,13.2
IC0344,G,55.373042,-4.665861,14.92
IC0345,G,55.288042,-18.314139,14.71
IC0346,G,55.436083,-18.266972,12.64
IC0347,G,55.636042,-4.298639,13.99
IC0348,Cl+N,56.142458,32.162833,
IC0349,RfN,56.583792,23.939806,
IC0350,G,56.152708,-11.800750,14.95
IC0351,PN,56.887542,35.046917,11.9
IC0352,G,56.905958,-8.731833,15.65
IC0353,Neb,58.254458,25.848000,
IC0354,Neb,58.491292,23.147000,
IC0355,G,58.442750,19.973917,15.4
IC0356,G,61.945458,69.812444,10.24
IC0357,G,60.933333,22.159111,14.6
IC0358,G,60.928667,19.894944,15.21
IC0359,G,63.118167,27.701972,15.39
IC0359A,RfN,64.670833,28.290000,
IC0360,Neb,62.260708,26.131194,
IC0361,OCl,64.711250,58.249500,11.7
IC0362,G,64.176792,-12.200111,14.18
IC0363,G,64.730917,3.033028,15.2
IC0364,G,64.777917,3.188944,15.27
IC0365,G,64.808917,3.348333,14.84
IC0366,G,64.923083,2.359806,15.66
IC0367,G,65.170792,-14.781056,14.47
IC0368,G,65.678000,-12.615167,15.08
IC0369,G,65.867583,-11.790083,15.37
IC0370,G,66.006958,-9.394833,14.94
IC0371,*,67.552458,-0.561000,
IC0372,G,67.517667,-5.009972,15.32
IC0373,G,67.678167,-4.870250,15.04
IC0374,G,68.136458,16.634167,15.81
IC0375,G,67.763083,-12.973972,15.24
IC0376,G,67.807458,-12.433361,16.05
IC0377,G,67.818917,-12.455083,14.84
IC0378,G,67.866333,-12.299750,15.6
IC0379,G,67.962208,-7.238361,14.7
IC0380,G,67.922167,-12.927028,15.25
IC0381,Dup,71.118750,75.639750,
IC0382,G,69.481458,-9.519333,13.53
IC0383,G,69.741792,9.892528,15.6
IC0384,G,69.826167,-7.839111,15.14
IC0385,G,69.881083,-7.097472,15.41
IC0386,Dup,69.994083,-9.456222,
IC0387,G,70.434208,-7.086194,12.99
IC0388,GPair,70.472208,-7.305528,
IC0388 NED01,G,70.468417,-7.304639,16.2
IC0388 NED02,G,70.476333,-7.306472,15.91
IC0389,G,70.498417,-7.311472,15.07
IC0390,G,70.516125,-7.206444,15.48
IC0391,G,74.338042,78.188833,12.68
IC0392,G,71.607333,3.505556,13.47
IC0393,G,71.965833,-15.525194,14.87
IC0394,Other,72.211292,-6.280194,
IC0395,Dup,72.391792,0.252861,
IC0396,G,74.495792,68.323389,13.08
IC0397,Other,75.277625,40.424889,
IC0398,G,74.552333,-7.780250,
IC0399,G,75.433375,-4.288750,14.8
IC0400,G,75.940167,-15.819083,16.7
IC0401,G,76.081833,-10.076528,13.94
IC0402,G,76.561792,-9.107417,14.4
IC0403,Other,78.815375,39.972111,
IC0404,G,78.331667,9.754917,15.5
IC0405,Neb,79.122833,34.356167,10.0
IC0406,Other,79.454167,39.886028,
IC0407,G,79.427542,-15.523444,14.2
IC0408,G,79.936917,-25.064333,13.85
IC0409,GPair,79.889792,3.318389,
IC0410,Neb,80.675000,33.366667,
IC0411,G,80.077542,-25.324500,14.13
IC0412,G,80.486250,3.486389,14.62
IC0413,G,80.494917,3.482167,14.68
IC0414,G,80.479000,3.342028,14.4
IC0415,G,80.340125,-15.542583,15.45
IC0416,G,80.984917,-17.260417,13.9
IC0417,HII,82.025000,34.423944,
IC0418,PN,81.867458,-12.697278,9.44
IC0419,Other,82.716750,30.117917,
IC0420,Neb,83.039583,-4.504750,
IC0421,G,83.035750,-7.918333,12.6
IC0422,G,83.077292,-17.223861,
IC0423,Neb,83.341708,-0.614500,
IC0424,Neb,83.405167,-0.413139,
IC0425,Other,84.291333,32.429667,
IC0426,Neb,84.130750,-0.298306,
IC0427,Neb,84.075083,-6.616444,
IC0428,Neb,84.100875,-6.451556,
IC0429,Neb,84.578583,-7.040500,
IC0430,Neb,84.649875,-7.083111,14.4
IC0431,RfN,85.058458,-1.462806,
IC0432,RfN,85.233250,-1.507000,
IC0433,G,85.130625,-11.665583,
IC0434,HII,85.253667,-2.453778,11.0
IC0435,RfN,85.752375,-2.312611,
IC0436,Other,88.417000,38.624778,
IC0437,G,87.905833,-12.564972,15.25
IC0438,G,88.250333,-17.876083,12.07
IC0439,Other,89.164625,32.022694,
IC0440,G,94.805458,80.068472,14.2
IC0441,G,90.677625,-12.499139,14.4
IC0442,G,99.049542,82.968250,14.04
IC0443,SNR,94.155875,22.531667,12.0
IC0444,RfN,94.641667,23.313333,7.03
IC0445,G,99.338542,67.859861,14.28
IC0446,Cl+N,97.775750,10.459278,
IC0447,HII,97.751333,9.897444,7.7
IC0448,HII,98.188917,7.388639,
IC0449,G,101.421292,71.343833,13.65
IC0450,G,103.051042,74.427083,14.12
IC0451,G,103.216708,74.480722,14.83
IC0452,Dup,102.162958,-16.901611,
IC0453,*,102.297708,-16.906750,
IC0454,G,102.776250,12.922028,14.5
IC0455,G,113.740333,85.537194,14.27
IC0456,G,105.073083,-30.163778,13.04
IC0457,Dup,107.368333,50.152528,
IC0458,G,107.642292,50.118917,14.38
IC0459,G,107.661208,50.177333,15.76
IC0460,G,107.684458,50.202444,15.34
IC0461,G,107.687667,50.081417,15.67
IC0462,*,107.732542,50.180833,
IC0463,G,107.753708,50.117694,
IC0464,G,107.769792,50.136889,14.74
IC0465,Dup,107.890208,50.248250,
IC0466,HII,107.161667,-4.318000,12.06
IC0467,G,112.576625,79.872528,12.57
IC0468,Other,109.329167,-13.218694,
IC0469,G,118.996167,85.158917,13.48
IC0470,**,110.881250,46.078667,12.93
IC0471,G,115.901875,49.667556,14.22
IC0472,G,115.959750,49.614194,14.33
IC0473,Other,115.602583,9.255278,
IC0474,G,116.530458,26.505111,14.91
IC0475,G,116.788458,30.488806,14.79
IC0476,G,116.818042,26.950972,15.45
IC0477,G,118.028875,23.483028,15.39
IC0478,G,118.423208,26.492694,15.29
IC0479,G,118.592583,27.008833,15.02
IC0480,G,118.846625,26.743333,15.04
IC0481,G,119.761917,24.160639,15.05
IC0482,G,119.947000,25.356972,14.98
IC0483,**,119.968250,25.925333,
IC0484,G,120.004417,26.665861,15.34
IC0485,G,120.082375,26.701444,15.33
IC0486,G,120.087417,26.613528,13.2
IC0487,Dup,119.779750,-0.637917,
IC0488,Other,120.206292,25.901861,
IC0489,*,120.407250,25.996389,
IC0490,G,120.833833,25.811417,15.66
IC0491,G,120.979167,26.520611,15.3
IC0492,G,121.411083,26.168194,17.19
IC0493,G,121.864958,25.134028,14.76
IC0494,G,121.600500,1.036056,14.26
IC0495,G,122.080917,9.013889,15.49
IC0496,G,122.434000,25.881611,15.36
IC0497,G,122.525292,24.922083,14.26
IC0498,G,122.376125,5.280694,14.57
IC0499,G,131.322083,85.740028,13.83
IC0500,G,123.165000,-16.050806,
IC0501,G,124.698292,24.537417,15.51
IC0502,G,125.515042,8.752611,15.43
IC0503,G,125.544500,3.268056,14.1
IC0504,G,125.671667,4.262417,14.25
IC0505,G,125.840292,4.372472,14.57
IC0506,G,125.878042,4.299500,14.69
IC0507,Dup,126.258333,-0.591389,
IC0508,G,127.092958,25.124722,14.71
IC0509,G,128.014583,24.010917,13.22
IC0510,GPair,128.044167,-2.162222,
IC0510 NED01,G,128.042458,-2.162111,
IC0510 NED02,G,128.045542,-2.162389,15.09
IC0511,G,130.210208,73.486667,14.43
IC0512,G,135.957625,85.501694,13.11
IC0513,G,128.271083,-12.355556,14.59
IC0514,G,128.842833,-2.047056,15.29
IC0515,G,128.880375,-1.901111,15.63
IC0516,G,128.961542,-1.871222,15.88
IC0517,G,129.092083,-2.055556,15.44
IC0518,Other,129.028958,0.692583,
IC0519,G,130.143375,2.611333,15.39
IC0520,G,133.426083,73.490944,11.83
IC0521,G,131.683167,2.537417,14.75
IC0522,G,133.645458,57.166722,13.87
IC0523,G,133.297167,9.148167,14.99
IC0524,G,134.553458,-19.191917,15.07
IC0525,G,135.343625,-1.853972,15.02
IC0526,G,135.669917,10.841639,14.93
IC0527,G,137.424083,37.601583,14.72
IC0528,G,137.343958,15.796167,15.01
IC0529,G,139.636667,73.759333,12.3
IC0530,G,138.820708,11.885694,14.16
IC0531,G,139.461708,-0.278472,14.79
IC0532,Other,139.765667,-16.754944,
IC0533,G,140.097500,-3.992028,15.72
IC0534,G,140.314375,3.151139,15.12
IC0535,G,140.567583,-1.040333,15.84
IC0536,G,141.167083,25.110194,15.09
IC0537,G,141.344208,-12.391778,14.15
IC0538,Dup,141.827125,23.020111,
IC0539,G,142.284333,-2.549139,14.31
IC0540,G,142.543042,7.902750,14.69
IC0541,Other,142.628292,-4.253667,
IC0542,G,142.775917,-13.181361,15.02
IC0543,Other,142.787917,-14.772500,
IC0544,G,143.972417,24.894861,15.44
IC0545,G,144.022333,24.948944,14.79
IC0546,G,143.709333,-16.384417,14.83
IC0547,Dup,144.024125,-12.436722,
IC0548,G,144.580417,9.445972,15.28
IC0549,G,145.180125,3.959750,15.0
IC0550,G,145.119083,-6.946056,14.74
IC0551,G,145.250458,6.936083,14.56
IC0552,G,145.319042,10.647000,14.42
IC0553,G,145.188042,-5.435361,14.45
IC0554,G,145.487042,12.296278,14.36
IC0555,Dup,145.487042,12.296278,
IC0556,Dup,145.918250,11.060861,
IC0557,G,146.010000,10.988111,14.66
IC0558,G,146.251458,29.452306,13.9
IC0559,G,146.182875,9.615000,14.82
IC0560,G,146.472667,-0.268306,14.38
IC0561,G,146.495042,3.145194,15.13
IC0562,G,146.516250,-3.971167,15.0
IC0563,G,146.584792,3.045583,14.81
IC0564,G,146.587833,3.071361,14.16
IC0565,GPair,146.961500,15.852556,
IC0565 NED01,G,146.956958,15.852028,16.74
IC0565 NED02,G,146.960542,15.851889,15.03
IC0566,G,147.484958,-0.231361,15.32
IC0567,*,147.640750,12.784722,
IC0568,G,147.784708,15.730444,14.68
IC0569,G,147.867292,10.920056,15.33
IC0570,G,147.962417,15.755750,16.0
IC0571,G,148.131542,15.775444,15.29
IC0572,G,148.136708,15.826861,14.83
IC0573,Dup,148.400708,-12.482111,
IC0574,G,148.612625,-6.953389,14.79
IC0575,G,148.637208,-6.857556,14.31
IC0576,G,148.779333,11.039556,15.46
IC0577,G,149.016542,10.498861,14.58
IC0578,G,149.067292,10.486083,14.71
IC0579,G,149.164250,-13.774889,15.15
IC0580,Dup,149.486250,10.432444,
IC0581,G,149.548250,15.946972,14.95
IC0582,G,149.750958,17.817139,14.57
IC0583,G,149.771167,17.821444,15.16
IC0584,G,149.771375,10.361139,14.99
IC0585,G,149.933833,12.988583,14.82
IC0586,G,149.959583,-6.922833,15.16
IC0587,G,150.771542,-2.400028,14.31
IC0588,G,150.529333,3.057694,14.25
IC0589,G,151.099583,-5.678917,15.34
IC0590,GPair,151.459292,0.632944,
