id,name,ra_deg,dec_deg,mag
2178,HIP 2178,6.879450,16.025483,6.44
2210,Eta Scl,6.982080,-33.007167,4.86
2213,HIP 2213,6.993615,19.514039,6.40
2219,47    Psc,7.012125,17.893125,5.01
2224,48    Psc,7.052925,16.445065,6.05
2225,HIP 2225,7.056810,44.394452,5.18
2235,HIP 2235,7.083540,10.189848,6.05
2237,HIP 2237,7.087920,-20.335051,6.44
2240,HIP 2240,7.110405,-39.915002,5.42
2256,HIP 2256,7.179480,-50.532859,6.26
2270,HIP 2270,7.236090,36.899694,6.28
2337,HIP 2337,7.466220,-14.864109,6.15
2353,12    Cet,7.509825,-3.957332,5.72
2355,28    And,7.530675,29.751557,5.20
2377,HIP 2377,7.583010,59.977554,5.94
2381,HIP 2381,7.594395,-23.787680,5.17
2383,HIP 2383,7.608630,-48.214910,5.67
2388,HIP 2388,7.615935,-40.939586,6.18
2422,HIP 2422,7.726650,77.019404,6.18
2472,Lam1Phe,7.853910,-48.803514,4.76
2474,13    Cas,7.855050,66.519617,6.18
2475,HIP 2475,7.856805,33.581642,5.88
2484,Bet1Tuc,7.885875,-62.958218,4.36
2487,Bet2Tuc,7.889190,-62.965561,4.53
2497,HIP 2497,7.921575,52.839526,5.59
2505,14Lam Cas,7.943085,54.522289,4.74
2548,51    Psc,8.099085,6.955463,5.69
2568,52    Psc,8.147835,20.294316,5.38
2578,Bet3Tuc,8.182680,-63.031500,5.07
2583,HIP 2583,8.204535,28.280241,6.26
2599,15Kap Cas,8.249955,62.931783,4.17
2611,HIP 2611,8.293185,54.894985,5.93
2628,HIP 2628,8.330100,70.981843,6.41
2629,The Tuc,8.346945,-71.266246,6.11
2661,HIP 2661,8.421015,-29.558278,5.55
2663,HIP 2663,8.432550,-35.002078,6.41
2707,16    Cas,8.603745,66.750351,6.47
2711,HIP 2711,8.615610,-52.373090,5.57
2734,HIP 2734,8.730690,13.371137,6.39
2762,13    Cet,8.811990,-3.592846,5.20
2787,14    Cet,8.886810,-0.505610,5.94
2789,HIP 2789,8.888865,-54.821873,6.04
2802,Lam2Phe,8.921505,-48.000907,5.51
2832,HIP 2832,8.978355,13.207067,6.32
2846,HIP 2846,9.013155,-14.973035,6.45
2852,HIP 2852,9.028590,-22.842333,6.06
2854,HIP 2854,9.034590,54.168450,5.08
2876,HIP 2876,9.113925,60.326215,5.78
2889,HIP 2889,9.156735,-65.124445,6.43
2900,HIP 2900,9.193545,44.488587,5.14
2903,53    Psc,9.197130,15.231725,5.89
2912,29Pi  And,9.220200,33.719344,4.34
2920,Fulu,9.242820,53.896909,3.69
2926,HIP 2926,9.279960,24.014136,6.18
2937,HIP 2937,9.325905,-54.393819,6.40
2941,HIP 2941,9.335895,-24.767267,5.57
2942,HIP 2942,9.338415,35.399501,5.45
2954,HIP 2954,9.377040,3.135351,6.43
3031,30Eps And,9.639030,29.311751,4.34
3056,HIP 3056,9.703245,-25.107819,6.43
3083,HIP 3083,9.791220,49.354589,5.45
3092,31Del And,9.831930,30.861024,3.27
3093,54    Psc,9.840945,21.250472,5.88
3132,HIP 3132,9.948705,82.493762,6.38
3137,HIP 3137,9.966420,-44.796293,6.00
3138,55    Psc,9.981540,21.438495,5.36
3170,HIP 3170,10.104885,-59.454604,5.89
3175,HIP 3175,10.119090,-16.516676,6.49
3179,Schedar,10.126740,56.537331,2.24
3185,HIP 3185,10.136565,-23.804876,6.14
3193,HIP 3193,10.176555,-4.351841,5.90
3231,32    And,10.279950,39.458664,5.30
3245,Mu  Phe,10.331490,-46.085007,4.59
3269,HIP 3269,10.400145,24.629008,6.06
3277,Xi  Phe,10.443150,-56.501315,5.72
3299,HIP 3299,10.514295,66.147592,5.83
3300,19Xi  Cas,10.516215,50.512526,4.80
3330,Rho Tuc,10.618035,-65.468030,5.38
3334,HIP 3334,10.629270,58.753411,6.18
3352,HIP 3352,10.674135,-60.262807,5.99
3356,Lam1Scl,10.678710,-38.463483,6.05
3405,Eta Phe,10.838505,-57.463060,4.36
3414,20Pi  Cas,10.866990,47.024546,4.95
3419,Diphda,10.897350,-17.986605,2.04
3436,HIP 3436,10.958700,-12.011813,6.01
3455,17Phi1Cet,11.047500,-10.609550,4.77
3456,Lam2Scl,11.050245,-38.421686,5.90
3478,HIP 3478,11.109180,47.863984,5.66
3489,HIP 3489,11.131605,-62.497591,6.06
3504,22Omi Cas,11.181300,48.284364,4.48
3505,HIP 3505,11.184990,-22.006135,5.22
3521,HIP 3521,11.237805,-42.676558,5.94
3527,HIP 3527,11.249385,-53.714895,6.15
3544,HIP 3544,11.321610,55.221396,5.41
3552,HIP 3552,11.350530,-4.629160,6.15
3559,18    Cet,11.369535,-12.880810,6.15
3572,21    Cas,11.412930,74.988073,5.64
3576,HIP 3576,11.423775,-16.424220,6.47
3583,HIP 3583,11.439750,-47.551985,5.80
3604,HIP 3604,11.545035,44.861497,6.03
3607,HIP 3607,11.548935,-22.522097,5.49
3632,57    Psc,11.637330,15.475504,5.36
3641,HIP 3641,11.659695,69.325408,6.39
3649,HIP 3649,11.676930,59.574539,6.41
3675,58    Psc,11.756070,11.973849,5.51
3685,59    Psc,11.806770,19.578702,6.11
3693,Shimu,11.834715,24.267178,4.08
3697,60    Psc,11.848470,6.740956,5.98
3717,HIP 3717,11.930085,-18.061339,5.70
3721,23    Cas,11.941785,74.847573,5.42
3741,HIP 3741,12.004440,-21.722492,5.57
3750,HIP 3750,12.037305,72.674482,5.86
3760,62    Psc,12.072540,7.299928,5.92
3765,96 G. Psc,12.095730,5.280615,5.74
3781,Lam Hyi,12.146655,-74.923438,5.09
3786,63Del Psc,12.170595,7.585079,4.44
3801,25Nu  Cas,12.208380,50.968168,4.90
3807,HIP 3807,12.236370,-46.697648,6.28
3810,64    Psc,12.244620,16.940644,5.07
3821,Achird,12.273900,57.815187,3.46
3834,HIP 3834,12.308100,-24.136672,5.90
3849,HIP 3849,12.356730,-13.561274,5.59
3858,HIP 3858,12.389295,-23.362144,6.27
3881,35Nu  And,12.453510,41.078911,4.53
3885,65    Psc,12.471495,27.710286,5.55
3903,HIP 3903,12.515685,-43.394921,6.49
3909,19Phi2Cet,12.531645,-10.644326,5.17
3919,HIP 3919,12.576045,45.002258,6.13
3949,Rho Phe,12.671520,-50.986816,5.24
3951,HIP 3951,12.681630,64.247549,5.35
3965,HIP 3965,12.738945,51.508032,6.38
3988,HIP 3988,12.818265,61.805494,6.04
3992,HIP 3992,12.826350,3.385020,6.39
4023,HIP 4023,12.890790,51.571427,6.22
4104,HIP 4104,13.169265,-24.005844,5.47
4147,20    Cet,13.252065,-1.144260,4.78
4151,HIP 4151,13.267665,61.123970,4.80
4164,HIP 4164,13.301895,-24.776876,6.44
4185,HIP 4185,13.367595,37.418209,6.07
4200,HIP 4200,13.407585,-62.871352,5.73
4212,HIP 4212,13.448205,52.689293,6.27
4257,21    Cet,13.573305,-8.740662,6.15
4267,66    Psc,13.646775,19.188417,5.80
4283,HIP 4283,13.720005,83.707435,5.59
4288,36    And,13.742085,23.628335,5.46
4292,26Ups1Cas,13.750725,58.972698,4.83
4293,Lam2Tuc,13.751265,-69.527084,5.45
4298,HIP 4298,13.771710,48.678520,6.28
4317,HIP 4317,13.811130,24.557062,6.19
4346,HIP 4346,13.926660,-7.347149,5.88
4363,HIP 4363,13.981395,-27.775839,6.11
4366,67    Psc,13.993800,27.209381,6.08
4371,22Phi3Cet,14.006205,-11.266526,5.35
4382,HIP 4382,14.038005,13.951960,6.46
4383,HIP 4383,14.053965,57.996557,6.20
4422,Castula,14.166480,59.181056,4.62
4427,Cih,14.177145,60.716740,2.15
4436,37Mu  And,14.188275,38.499345,3.86
4440,HIP 4440,14.195655,60.362836,5.56
4446,HIP 4446,14.229360,68.775657,6.39
4463,Kui,14.301675,23.417648,4.40
4475,HIP 4475,14.331525,61.421895,6.44
4501,HIP 4501,14.415180,45.839379,6.10
4510,68    Psc,14.458965,28.992217,5.44
4520,HIP 4520,14.477130,13.695865,6.30
4552,HIP 4552,14.559225,33.950885,5.99
4558,HIP 4558,14.578725,21.404495,6.47
4563,HIP 4563,14.592510,-60.696239,6.23
4572,HIP 4572,14.629275,66.351793,5.97
4577,Alp Scl,14.651490,-29.357449,4.30
4587,23Phi4Cet,14.682780,-11.379975,5.62
4655,HIP 4655,14.957025,6.483225,6.14
4675,HIP 4675,15.014820,44.713243,5.69
4709,HIP 4709,15.128805,70.982988,6.40
4770,Xi  Scl,15.326100,-38.916527,5.59
4786,HIP 4786,15.362685,49.544220,6.48
