id,name,ra_deg,dec_deg,mag
1,Sirius,101.287083,-16.716111,-1.46
2,Canopus,95.987917,-52.695667,-0.72
3,Arcturus,213.915417,19.1825,-0.05
4,Vega,279.234583,38.783611,0.03
5,Capella,79.172333,45.997997,0.08
6,Rigel,78.634467,-8.201639,0.18
7,Procyon,114.825417,5.225,0.34
8,Betelgeuse,88.792939,7.407064,0.42
9,Achernar,24.428583,-57.23675,0.46
10,Hadar,210.955833,-60.373056,0.61
